datetime,csi1000,hs300,csi500
2005-02-01,905.8,955.951,913.331
2005-02-02,958.39,1006.913,964.243
2005-02-03,936.86,993.215,945.312
2005-02-04,952.39,1016.858,962.028
2005-02-16,966.38,1023.584,972.337
2005-02-17,973.81,1020.606,977.272
2005-02-18,964.0,1006.055,964.769
2005-02-21,983.61,1025.633,981.819
2005-02-22,1015.66,1046.744,1007.688
2005-02-23,1032.89,1043.944,1019.258
2005-02-24,1035.35,1045.46,1024.446
2005-02-25,1032.41,1046.761,1024.118
2005-02-28,1029.38,1039.989,1020.847
2005-03-01,1030.82,1035.934,1021.162
2005-03-02,1014.53,1021.32,1006.148
2005-03-03,1020.25,1027.71,1011.288
2005-03-04,1011.36,1023.667,1003.21
2005-03-07,1013.59,1029.871,1006.953
2005-03-08,1037.03,1048.987,1029.457
2005-03-09,1042.18,1046.544,1032.55
2005-03-10,1011.79,1022.413,1005.545
2005-03-11,1017.45,1027.429,1009.434
2005-03-14,1005.99,1031.026,1007.766
2005-03-15,993.48,1013.523,993.831
2005-03-16,982.84,1003.065,983.916
2005-03-17,967.59,992.863,970.966
2005-03-18,946.71,978.665,949.509
2005-03-21,950.79,981.893,949.553
2005-03-22,915.94,964.024,922.564
2005-03-23,915.97,959.01,923.194
2005-03-24,928.54,964.801,933.347
2005-03-25,923.2,962.955,931.417
2005-03-28,911.35,960.696,922.923
2005-03-29,904.82,955.19,916.811
2005-03-30,869.58,937.034,888.949
2005-03-31,880.9,942.203,896.068
2005-04-01,913.85,978.145,927.546
2005-04-04,896.29,962.168,909.87
2005-04-05,886.2,955.598,901.744
2005-04-06,898.88,973.668,918.557
2005-04-07,913.66,984.733,932.333
2005-04-08,931.38,1003.445,949.457
2005-04-11,931.97,995.421,948.509
2005-04-12,905.87,978.697,927.41
2005-04-13,929.11,1000.9,950.229
2005-04-14,916.35,986.975,935.425
2005-04-15,887.93,974.082,913.271
2005-04-18,868.33,963.772,901.118
2005-04-19,867.23,965.886,902.785
2005-04-20,844.93,950.867,884.083
2005-04-21,826.05,943.981,867.328
2005-04-22,806.64,939.101,857.401
2005-04-25,789.54,930.07,841.058
2005-04-26,806.94,937.083,855.24
2005-04-27,790.24,926.604,839.953
2005-04-28,813.63,942.073,860.616
2005-04-29,802.28,932.395,847.611
2005-05-09,771.08,909.174,818.399
2005-05-10,773.2,913.076,818.088
2005-05-11,772.08,901.851,811.57
2005-05-12,769.02,885.82,807.51
2005-05-13,779.49,887.543,814.878
2005-05-16,776.54,875.271,808.171
2005-05-17,785.44,881.462,818.455
2005-05-18,794.57,883.196,824.643
2005-05-19,794.49,884.171,824.94
2005-05-20,787.9,882.763,819.13
2005-05-23,758.68,863.341,793.724
2005-05-24,777.77,868.456,808.743
2005-05-25,781.99,868.451,809.697
2005-05-26,772.87,857.331,799.024
2005-05-27,767.27,849.508,790.998
2005-05-30,776.4,855.612,797.532
2005-05-31,775.74,855.946,796.872
2005-06-01,760.51,837.532,778.673
2005-06-02,756.82,818.379,769.421
