date,start,close,max,min
2005-01-05,989.87,1013.58,1018.26,988.57
2005-01-06,1014.97,1005.47,1014.97,1001.21
2005-01-07,1005.51,1011.74,1021.71,1001.10
2005-01-10,1011.92,1023.64,1023.64,1007.80
2005-01-11,1024.04,1027.16,1027.16,1017.79
2005-01-12,1026.74,1024.92,1026.74,1014.77
2005-01-13,1024.13,1029.30,1030.49,1020.67
2005-01-14,1028.99,1011.88,1034.59,1011.44
2005-01-17,1002.33,986.66,1002.33,984.38
2005-01-18,985.67,1008.11,1008.48,985.67
2005-01-19,1007.11,1002.46,1008.22,997.62
2005-01-20,999.93,989.44,999.93,982.42
2005-01-21,987.43,1006.25,1007.92,966.08
2005-01-24,1028.01,1028.01,1029.00,1016.09
2005-01-25,1023.10,1015.10,1023.10,1005.49
2005-01-26,1014.25,1006.84,1015.13,1004.61
2005-01-27,1005.89,989.41,1005.89,988.12
2005-01-28,989.41,963.00,989.41,960.24
2005-01-31,954.94,924.17,954.94,923.13
2005-02-01,917.30,905.80,929.22,905.21
2005-02-02,904.13,958.39,959.99,904.13
2005-02-03,956.73,936.86,962.26,936.51
2005-02-04,937.15,952.39,954.91,934.96
2005-02-16,959.28,966.38,975.50,958.48
2005-02-17,966.04,973.81,973.81,957.80
2005-02-18,973.19,964.00,974.21,963.76
2005-02-21,963.58,983.61,983.68,963.58
2005-02-22,983.96,1015.66,1016.38,982.76
2005-02-23,1016.77,1032.89,1038.91,1010.43
2005-02-24,1031.75,1035.35,1037.78,1023.30
2005-02-25,1034.54,1032.41,1046.99,1032.32
2005-02-28,1032.18,1029.38,1034.46,1021.86
2005-03-01,1028.61,1030.82,1031.54,1018.99
2005-03-02,1031.50,1014.53,1038.35,1013.83
2005-03-03,1011.26,1020.25,1021.45,1003.21
2005-03-04,1020.55,1011.36,1022.23,1009.84
2005-03-07,1011.81,1013.59,1016.56,1009.27
2005-03-08,1014.26,1037.03,1037.06,1014.26
2005-03-09,1039.51,1042.18,1044.01,1034.47
2005-03-10,1042.74,1011.79,1043.32,1008.40
2005-03-11,1009.98,1017.45,1018.11,1005.95
2005-03-14,1016.72,1005.99,1016.72,990.34
2005-03-15,1005.51,993.48,1007.55,991.23
2005-03-16,991.75,982.84,991.77,977.60
2005-03-17,980.92,967.59,984.38,967.48
2005-03-18,965.17,946.71,969.38,943.69
2005-03-21,945.76,950.79,952.09,939.18
2005-03-22,950.80,915.94,951.15,915.73
2005-03-23,915.04,915.97,933.53,909.34
2005-03-24,914.47,928.54,928.68,906.58
2005-03-25,928.73,923.20,928.73,918.79
2005-03-28,921.89,911.35,921.89,896.95
2005-03-29,910.67,904.82,919.16,904.73
2005-03-30,902.01,869.58,902.01,868.89
2005-03-31,868.27,880.90,880.90,860.42
2005-04-01,880.26,913.85,921.49,870.60
2005-04-04,904.54,896.29,909.31,890.29
2005-04-05,894.29,886.20,898.45,884.66
2005-04-06,886.20,898.88,903.12,874.03
2005-04-07,898.60,913.66,925.78,897.65
2005-04-08,913.34,931.38,931.88,909.87
2005-04-11,930.52,931.97,940.15,924.60
2005-04-12,930.97,905.87,930.97,905.77
2005-04-13,908.76,929.11,929.66,908.76
2005-04-14,931.78,916.35,932.91,914.62
2005-04-15,912.67,887.93,912.67,886.01
2005-04-18,882.41,868.33,882.41,862.17
2005-04-19,867.35,867.23,871.67,856.70
2005-04-20,866.65,844.93,866.65,843.77
2005-04-21,843.57,826.05,846.79,820.48
2005-04-22,823.62,806.64,826.77,800.95
2005-04-25,792.11,789.54,794.46,778.24
2005-04-26,784.95,806.94,811.24,780.44
2005-04-27,809.90,790.24,809.90,789.96
2005-04-28,787.36,813.63,817.23,777.63
2005-04-29,812.84,802.28,814.27,801.00
2005-05-09,803.67,771.08,806.51,770.86
2005-05-10,767.78,773.20,773.20,746.65
2005-05-11,771.41,772.08,781.30,766.40
2005-05-12,772.16,769.02,778.23,761.26
2005-05-13,766.12,779.49,780.41,764.34
2005-05-16,778.48,776.54,778.48,770.59
2005-05-17,775.24,785.44,788.68,770.83
2005-05-18,785.25,794.57,794.76,780.58
2005-05-19,795.21,794.49,798.11,783.64
