"date","收盘","开盘","高","低","交易量","涨跌幅"
"2024-1-26","5,338.50","5,303.96","5,352.78","5,285.88","75.80K","0.42%"
"2024-1-25","5,316.19","5,143.29","5,316.19","5,112.54","163.15K","3.42%"
"2024-1-24","5,140.37","5,102.82","5,151.42","4,951.90","141.70K","1.20%"
"2024-1-23","5,079.63","4,992.79","5,102.44","4,939.52","130.29K","1.50%"
"2024-1-22","5,004.42","5,298.31","5,298.31","4,970.35","142.69K","-5.77%"
"2024-1-19","5,310.61","5,364.81","5,395.14","5,304.96","105.02K","-1.19%"
"2024-1-18","5,374.48","5,360.21","5,375.23","5,214.90","147.00K","-0.36%"
"2024-1-17","5,393.87","5,529.89","5,529.89","5,393.42","102.26K","-2.63%"
"2024-1-16","5,539.47","5,555.00","5,566.21","5,463.29","116.80K","-0.36%"
"2024-1-15","5,559.39","5,558.15","5,607.13","5,520.36","108.63K","-0.31%"
"2024-1-12","5,576.44","5,601.10","5,646.27","5,574.41","119.61K","-0.61%"
"2024-1-11","5,610.74","5,507.80","5,634.02","5,502.37","123.26K","1.72%"
"2024-1-10","5,515.60","5,540.66","5,580.42","5,462.61","105.27K","-0.64%"
"2024-1-9","5,551.07","5,553.18","5,607.22","5,513.37","109.19K","0.10%"
"2024-1-8","5,545.30","5,664.45","5,664.45","5,544.43","109.07K","-2.33%"
"2024-1-5","5,677.32","5,779.76","5,796.47","5,652.13","117.91K","-1.84%"
"2024-1-4","5,783.73","5,814.94","5,814.94","5,753.47","101.68K","-0.69%"
"2024-1-3","5,823.98","5,838.55","5,861.41","5,785.31","117.94K","-0.53%"
"2024-1-2","5,855.03","5,891.17","5,891.23","5,854.59","126.88K","-0.55%"
"2023-12-29","5,887.12","5,797.58","5,891.63","5,795.76","132.77K","1.42%"
"2023-12-28","5,804.81","5,687.75","5,824.10","5,660.13","142.49K","1.89%"
"2023-12-27","5,696.95","5,658.19","5,702.96","5,637.01","106.91K","0.80%"
"2023-12-26","5,651.59","5,734.15","5,734.49","5,632.87","104.06K","-1.50%"
"2023-12-25","5,737.63","5,726.56","5,753.33","5,698.36","108.34K","0.03%"
"2023-12-22","5,736.15","5,797.61","5,819.65","5,714.18","139.86K","-1.08%"
"2023-12-21","5,798.91","5,739.02","5,813.95","5,685.79","124.95K","0.65%"
"2023-12-20","5,761.42","5,869.56","5,873.76","5,761.42","111.55K","-1.71%"
"2023-12-19","5,861.67","5,853.19","5,887.77","5,820.51","110.25K","0.08%"
"2023-12-18","5,857.17","5,939.43","5,941.90","5,845.98","123.84K","-1.62%"
"2023-12-15","5,953.78","6,000.26","6,016.40","5,935.51","122.12K","-0.65%"
"2023-12-14","5,992.44","6,038.92","6,072.61","5,989.23","118.76K","-0.48%"
"2023-12-13","6,021.04","6,067.78","6,076.36","6,019.93","121.02K","-0.93%"
"2023-12-12","6,077.41","6,070.88","6,084.28","6,050.73","128.28K","0.07%"
"2023-12-11","6,073.16","5,984.68","6,080.80","5,933.74","157.92K","1.17%"
"2023-12-8","6,003.14","6,021.92","6,055.71","6,003.14","167.97K","-0.31%"
"2023-12-7","6,021.60","6,019.96","6,044.85","5,983.25","146.84K","-0.04%"
"2023-12-6","6,023.78","5,977.61","6,066.27","5,970.28","143.54K","0.47%"
"2023-12-5","5,995.88","6,098.12","6,098.12","5,994.82","140.94K","-1.94%"
"2023-12-4","6,114.66","6,131.59","6,147.05","6,110.25","153.36K","-0.25%"
"2023-12-1","6,129.99","6,078.64","6,142.74","6,059.99","143.56K","0.83%"
"2023-11-30","6,079.78","6,104.77","6,110.26","6,031.76","128.80K","-0.58%"
"2023-11-29","6,115.13","6,138.76","6,154.74","6,103.99","134.88K","-0.46%"
